chicago;addie;story begins here;-----#####-----------|-----#@$.#-----------|-----#####-----------
houston;harvey;we got a problem;-----#####-----------|-----#---#-----------|-----#$--#-----------|---###--$##----------|---#--$-$-#----------|-###-#-##-#---######-|-#---#-##-#####--..#-|-#-$--$----------..#-|-#####-###-#@##--..#-|-----#-----#########-|-----#######---------
philadelphia;warren;the lookup for resources;-############--------|-#..--#-----###------|-#..--#-$--$--#------|-#..--#$####--#------|-#..----@-##--#------|-#..--#-#--$-##------|-######-##$-$-#------|---#-$--$-$-$-#------|---#----#-----#------|---############------
phoenix;agnes;vising the hockey town;---------########----|---------#-----@#----|---------#-$#$-##----|---------#-$--$#-----|---------##$-$-#-----|-#########-$-#-###---|-#....--##-$--$--#---|-##...----$--$---#---|-#....--##########---|-########------------
dallas;hattie;oil tower chase;------------########-|------------#--....#-|-############--....#-|-#----#--$-$---....#-|-#-$$$#$--$-#--....#-|-#--$-----$-#--....#-|-#-$$-#$-$-$########-|-#--$-#-----#--------|-##-#########--------|-#----#----##--------|-#-----$---##--------|-#--$$#$$--@#--------|-#----#----##--------|-###########---------
detroit;alice;choose your vehicle;---------#####-------|---------#---#####---|---------#-#$##--#---|---------#-----$-#---|-#########-###---#---|-#....--##-$--$###---|-#....----$-$$-##----|-#....--##$--$-@#----|-#########--$--##----|---------#-$-$--#----|---------###-##-#----|-----------#----#----|-----------######----
indianapolis;hazel;ride the formula;-######--###---------|-#..--#-##@##--------|-#..--###---#--------|-#..-----$$-#--------|-#..--#-#-$-#--------|-#..###-#-$-#--------|-####-$-#$--#--------|----#--$#-$-#--------|----#-$--$--#--------|----#--##---#--------|----#########--------
jacksonville;allen;lets play football;--------#####--------|--#######---##-------|-##-#-@##-$$-#-------|-#----$------#-------|-#--$--###---#-------|-###-#####$###-------|-#-$--###-..#--------|-#-$-$-$-...#--------|-#----###...#--------|-#-$$-#-#...#--------|-#--###-#####--------|-####----------------
columbus;herbert;in the name of law;---####--------------|---#--###########----|---#----$---$-$-#----|---#-$#-$-#--$--#----|---#--$-$--#----#----|-###-$#-#--####-#----|-#@#$-$-$--##---#----|-#----$-#$#---#-#----|-#---$----$-$-$-#----|-#####--#########----|---#------#----------|---#------#----------|---#......#----------|---#......#----------|---#......#----------|---########----------
austin;alma;live music here;-----------#######---|-----------#--...#---|-------#####--...#---|-------#------.-.#---|-------#--##--...#---|-------##-##--...#---|------###-########---|------#-$$$-##-------|--#####--$-$-#####---|-##---#$-$---#---#---|-#@-$--$----$--$-#---|-######-$$-$-#####---|------#------#-------|------########-------
memphis;homer;across the mississippi;--###--#############-|-##@####-------#---#-|-#-$$---$$--$-$-...#-|-#--$$$#----$--#...#-|-#-$---#-$$-$$-#...#-|-###---#--$----#...#-|-#-----#-$-$-$-#...#-|-#----######-###...#-|-##-#--#--$-$--#...#-|-#--##-#-$$-$-$##..#-|-#-..#-#--$------#.#-|-#-..#-#-$$$-$$$-#.#-|-#####-#-------#-#.#-|-----#-#########-#.#-|-----#-----------#.#-|-----###############-
baltimore;amelia;waiting for reinforcements;-----------####------|------####-#--#------|----###-@###$-#------|---##------$--#------|--##--$-$$##-##------|--#--#$##-----#------|--#-#-$-$$-#-###-----|--#---$-#--#-$-#####-|-####----#--$$-#---#-|-####-##-$---------#-|-#.----###--########-|-#..-..#-####--------|-#...#.#-------------|-#.....#-------------|-#######-------------
charlotte;horace;second chance to score;-################----|-#--------------#----|-#-#-######-----#----|-#-#--$-$-$-$#--#----|-#-#---$@$---##-##---|-#-#--$-$-$###...#---|-#-#---$-$--##...#---|-#-###$$$-$-##...#---|-#-----#-##-##...#---|-#####---##-##...#---|-----#####-----###---|---------#-----#-----|---------#######-----
boston;annie;have you got red socks;----#########--------|---##---##--#####----|-###-----#--#----###-|-#--$-#$-#--#--...-#-|-#-#-$#@$##-#-#.#.-#-|-#--#-#$--#----.-.-#-|-#-$----$-#-#-#.#.-#-|-#---##--##$-$-.-.-#-|-#-$-#---#--#$#.#.-#-|-##-$--$---$--$...-#-|--#$-######----##--#-|--#--#----##########-|--####---------------
milwaukee;howard;the storm is comming;--------#######------|--#######-----#------|--#-----#-$@$-#------|--#$$-#---#########--|--#-###......##---#--|--#---$......##-#-#--|--#-###......-----#--|-##---####-###-#$##--|-#--#$---#--$--#-#---|-#--$-$$$--#-$##-#---|-#---$-$-###$$-#-#---|-#####-----$---#-#---|-----###-###---#-#---|-------#-----#---#---|-------########--#---|--------------####---
washington;archie;hello mr president;----########---------|----#---#--#---------|----#--$---#---------|--###-#$---####------|--#--$--##$---#------|--#--#-@-$-#-$#------|--#--#------$-####---|--##-####$##-----#---|--#-$#.....#-#---#---|--#--$..**.-$#-###---|-##--#.....#---#-----|-#---###-#######-----|-#-$$--#--#----------|-#--#-----#----------|-######---#----------|------#####----------
nashville;hugh;live on the green;-#####---------------|-#---##--------------|-#----#--####--------|-#-$--####--#--------|-#--$$-$---$#--------|-###@-#$----##-------|--#--##--$-$-##------|--#-$--##-##-.#------|--#--#$##$--#.#------|--###---$..##.#------|---#----#.*...#------|---#-$$-#.....#------|---#--#########------|---#--#--------------|---####--------------
seattle;august;psychiatrist on the radio;----##########-------|----#..--#---#-------|----#..------#-------|----#..--#--####-----|---#######--#--##----|---#------------#----|---#--#--##--#--#----|-####-##--####-##----|-#--$--#####-#--#----|-#-#-$--$--#-$--#----|-#-@$--$---#---##----|-####-##-#######-----|----#----#-----------|----######-----------
denver;charlie;go and get some nuggets;------###########----|------#--.--#---#----|------#-#.----@-#----|--#####-##..#-####---|-##--#-..###-----###-|-#-$-#...---$-#--$-#-|-#----..-##--##-##-#-|-####$##$#-$-#---#-#-|---##-#----#$-$$-#-#-|---#--$-#-#--#-$##-#-|---#---------------#-|---#--###########--#-|---####---------####-
portland;benjamin;not so far yet;---######------------|---#---@####---------|-#####-$---#---------|-#---##----####------|-#-$-#--##----#------|-#-$-#--#####-#------|-##-$--$----#-#------|-##-$-$-###-#-#------|-##-#--$--#-#-#------|-##-#-#$#---#-#------|-##-###---#-#-######-|-#--$--####-#-#....#-|-#----$----$---..#.#-|-####$--$#-$---....#-|-#-------#--##-....#-|-###################-
oklahoma;charlotte;refuel and go;-----##########------|-#####--------####---|-#-----#---$--#@-#---|-#-#######$####--###-|-#-#----##-#--#$-..#-|-#-#-$-----#--#--#.#-|-#-#-$--#-----#$-..#-|-#-#--###-##-----#.#-|-#-###--#--#--#$-..#-|-#-#----#--####--#.#-|-#-#$---$--$--#$-..#-|-#----$-#-$-$-#--#.#-|-####-$###----#$-..#-|----#----$$-###....#-|----#------##-######-|----########--------- 
tucson;bernard;meet the heat;-#########-----------|-#-------#-----------|-#-------####--------|-##-####-#--#--------|-##-#@##----#--------|-#-$$$-$--$$#--------|-#--#-##-$--#--------|-#--#-##--$-####-----|-####--$$$-$#--#-----|--#---##---....#-----|--#-#---#-#..-.#-----|--#---#-#-##...#-----|--#####-$--#...#-----|------##---#####-----|-------#####---------
albuquerque;chester;on the rio grande rift;-######-----####-----|-#----#######--#####-|-#---$#--#--$--#---#-|-#--$--$--$-#-$-$--#-|-##$-$---#-@#-$----#-|-#--$-###########-##-|-#-#---#.......#-$#--|-#-##--#-......#--#--|-#-#---$........$-#--|-#-#-$-#....-..#--#--|-#--$-$####$####-$#--|-#-$---###-$---$--##-|-#-$-----$-$--$----#-|-##-######-$-#####-#-|-#---------#-------#-|-###################-
